[34m % [39m[2mCoverage report from [22m[33mv8[39m
-------------------|---------|----------|---------|---------|-------------------
File               | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------|---------|----------|---------|---------|-------------------
  Dashboard.tsx    |   98.73 |     88.5 |      75 |   98.73 | ...0,56,58,60,482 
  ...Ingestion.tsx |   88.61 |    54.54 |      60 |   88.61 | ...80,382,396-399 
  Localization.tsx |   73.18 |    58.33 |      50 |   73.18 | 203-210,217-282   
  Login.tsx        |   82.57 |    71.42 |      80 |   82.57 | ...16-121,132-135 
  Profile.tsx      |   65.53 |    18.18 |   11.76 |   65.53 | ...60-327,332-360 
  Projects.tsx     |   68.69 |    42.85 |   31.81 |   68.69 | ...85-529,535-550 
  ...ngSession.tsx |   60.13 |    56.25 |    37.5 |   60.13 | ...45-248,295-349 
  ...onHistory.tsx |      58 |    51.51 |   45.45 |      58 | ...55-362,371-475 
  ...ementDemo.tsx |       0 |      100 |     100 |       0 | 6-30              
  Settings.tsx     |   54.29 |    31.25 |    9.52 |   54.29 | ...45-295,300-346 
